stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4617,, TAQUARA,,-30.112063,-51.10082
4603,, CONTINENTAL-LOMBA DO PINHEIRO,,-30.110204,-51.104333
5911,, VINTE QUATRO DE AGOSTO,,-30.029052,-51.139776
3356,, VINTE QUATRO DE AGOSTO,,-30.027907,-51.139486
3207,, BENTO GONCALVES,,-30.076733,-51.123116
4467,, JOAO ANTONIO SILVEIRA,,-30.14356,-51.115739
515,, COPACABANA,,-30.105339,-51.258682
516,, COPACABANA,,-30.105237,-51.258578
4608,, TAQUARA,,-30.10975,-51.101974
4609,, TAQUARA,,-30.109645,-51.101968
4600,, SAO BENEDITO-LOMBA DO PINHEIRO,,-30.110556,-51.104699
4557,, CACIMBAS,,-30.119653,-51.098503
2889,, PROF CRISTIANO FISCHER,,-30.04251,-51.171974
1696,, TERESOPOLIS,,-30.073968,-51.208667
4735,, CARLOS ESTEVAO,,-30.017318,-51.109815
4689,, CARLOS ESTEVAO,,-30.01707,-51.113188
4679,, CARLOS ESTEVAO,,-30.016585,-51.115926
3623,, SERTORIO,,-30.001295,-51.192991
3618,, SERTORIO,,-30.000661,-51.195908
5748,, TRES AV CASTELO BRANCO-VOLUNTARIOS,,-29.99908,-51.203339
3617,, SERTORIO,,-30.000391,-51.196868
3818,, SERTORIO,,-30.003074,-51.174631
3878,, SERTORIO,,-30.001825,-51.163568
4687,, CARLOS ESTEVAO,,-30.01696,-51.113691
5907,,RUBEM  BERTA BALTAZAR DE OLIVEIRA GARCIA,,-30.01522,-51.117486
5904,, TRES JARDIM PROTASIO ALVES,,-30.044538,-51.107169
3809,, OBIRICI,,-30.011841,-51.168533
5903,, OBIRICI,,-30.011911,-51.168643
1695,, TERESOPOLIS,,-30.074128,-51.208677
1735,, TERESOPOLIS,,-30.076282,-51.208029
1736,, TERESOPOLIS,,-30.076003,-51.207956
1718,, TERESOPOLIS,,-30.071763,-51.208551
4967,, DIDIA JARDIM PINTO,,-29.995197,-51.098517
4968,, DIDIA JARDIM PINTO,,-29.995123,-51.098504
2277,, PROTASIO ALVES,,-30.043511,-51.183865
5502,, ASSIS BRASIL,,-30.01017,-51.145667
5289,, JUCA BATISTA,,-30.206651,-51.179647
196,, JUCA BATISTA,,-30.202932,-51.178885
202,, JUCA BATISTA,,-30.19831,-51.177953
198,, JUCA BATISTA,,-30.201183,-51.178675
218,, JUCA BATISTA,,-30.190687,-51.175094
199,, JUCA BATISTA,,-30.201164,-51.178585
197,, JUCA BATISTA,,-30.202811,-51.178799
195,, JUCA BATISTA,,-30.204438,-51.178756
256,, JUCA BATISTA,,-30.172127,-51.178945
257,, JUCA BATISTA,,-30.17169,-51.179499
139,, CELESTINO BERTOLUCCI,,-30.156519,-51.197621
4260,, MARTIM FERREIRA DE CARVALHO,,-29.989417,-51.119054
2449,, PROF OSCAR PEREIRA,,-30.101812,-51.172086
3058,, SATURNINO DE BRITO,,-30.033202,-51.151181
